"site","lat","lon"
200,44.470665,-103.583288
201,44.569754,-103.627566
204,44.406282,-103.591337
205,44.229019,-103.601342
206,44.318405,-103.662811
207,44.2022662631579,-103.316551105263
211,44.4663199795918,-103.587707530612
216,44.436719,-103.620598
217,44.398219,-103.654978
218,44.36566,-103.693337
219,43.242671,-96.597242
220,44.4149281125,-103.6448562875
221,44.3565034224138,-102.752827293103
222,44.182136,-104.005234
224,44.47293,-103.876273
225,44.416804,-103.85356
226,44.0184910902778,-101.267606055556
227,44.469006,-103.938491
228,44.2444534285714,-103.247408
229,44.0584243571429,-97.6313178142857
230,44.333974,-103.792153
231,44.1172770434783,-103.178983217391
232,44.336077,-103.863579
233,43.2639646666667,-99.244111
234,44.158783,-103.681393
235,44.1504654827586,-103.367362896552
236,44.219208,-103.984595
237,44.3817867419355,-102.53128883871
244,44.463314,-104.00833
245,44.3690281274787,-103.248483229462
246,44.294257,-104.024893
247,44.086913244898,-103.421572673469
248,44.314429,-103.590426
250,44.449574,-103.670153
251,44.242194,-103.670824
252,44.15019,-104.0527
255,43.097051,-98.010744
257,44.617053,-96.606507
258,44.9609361219512,-96.8030757073171
260,42.976035,-98.082924
267,43.889873,-98.043458
269,44.049647,-98.326644
279,45.182251,-96.752688
302,44.848978,-96.765136
314,45.236617,-97.151475
316,44.52555,-97.174391
322,45.86251,-100.123834
329,45.1717653076923,-100.263193153846
337,43.684049,-96.882513
350,44.311107,-96.876083
353,45.010742,-97.717087
369,43.435808,-103.43153
372,43.359765,-103.450742
373,43.444121,-103.498829
375,43.407003,-103.533921
382,43.975514,-100.732252
388,45.934844,-97.455538
389,43.660302,-99.33179
406,43.458198,-103.551612
408,43.367179,-103.567018
410,43.414557,-103.666824
412,43.366647,-103.503845
414,43.6908612704918,-103.370670040984
415,43.841609,-103.376374
416,43.830471,-103.243564
417,45.5824035,-97.9999773125
418,43.283796,-103.639832
419,43.275153,-103.598917
420,43.60220951,-103.37870661
421,43.807939,-103.341403
422,44.025654,-100.697968
423,43.763697,-103.387327
425,43.257822,-103.752384
427,43.1936136818182,-101.845410645455
431,45.329706,-98.988984
433,43.665886,-103.329373
434,43.302834,-99.086973
438,43.645865,-103.423077
446,43.8289426271186,-103.301185355932
447,43.817822,-103.47767
448,43.2705393444444,-99.953238737037
449,43.727351,-103.419014
450,43.714713,-103.482587
451,43.7511021,-103.5358679
452,43.823228,-103.607952
453,43.4954003510638,-101.646814989362
454,43.743709,-103.608798
455,43.736076,-103.556283
456,43.5163218169014,-102.624831624413
457,43.536012,-103.746037
458,43.604107,-103.478179
459,43.556183,-103.441147
460,43.5695903555556,-103.389020333333
462,43.53063,-103.540401
464,43.349402,-99.16078
465,43.539141,-103.683228
466,43.498068,-103.647034
468,43.613924,-103.593648
469,43.013607,-98.743519
470,43.3383269107143,-100.649386815476
471,43.568458,-101.952070833333
474,43.3476275714286,-101.500741174603
475,43.674386,-103.884081
476,43.5513641818182,-102.640532545455
477,44.6214904201681,-100.020126428571
479,43.683916,-104.018737
480,43.638907,-103.859994
482,43.545392,-103.881398
484,45.874975,-96.984091
486,43.599696,-104.031428
489,43.060856,-99.204355
490,43.440069,-100.789554
491,43.809403,-103.539103
492,43.562659,-103.559708
495,43.64563,-104.053721
496,43.840908,-103.513878
498,43.33309,-103.672841
501,45.682629,-97.136104
504,43.127009,-98.637703
506,43.411141,-103.603941
510,43.6235900123457,-99.1598894567901
511,45.63486,-97.09049
516,43.349516,-101.904762
518,43.340249,-101.84694
519,45.348734,-103.113609
521,43.265064,-102.045486
523,43.363391,-100.395429
524,43.30189,-101.93192
530,44.333391,-98.719805
531,43.118658,-98.876108
550,43.316074,-102.007946
551,43.313089,-102.073195
552,43.262151,-101.860836
559,43.251233,-100.86879
563,43.256186,-100.57795
564,45.55954,-103.171143
565,45.51866,-103.138624
567,43.9589930851064,-100.959902851064
594,43.604101,-101.190265
600,43.470257,-100.272624
603,43.759696,-100.605451
614,43.216326,-100.97778
615,43.170241,-100.957859
616,43.185738,-101.015724
626,43.141779,-100.995694
638,43.795603,-99.41607
650,44.203809,-100.600169
655,43.3549,-100.683657
658,45.399018,-103.699585
666,43.26459,-99.838098
673,43.166097,-99.810035
682,43.006559,-99.695645
694,44.730039,-98.667351
698,44.624882,-101.252407
706,43.62645,-101.39993
718,45.44469,-103.928987
720,45.584652,-98.258116
740,43.760399,-101.466102
745,43.754283,-100.031354
748,44.768597,-103.882371
752,43.641728,-101.454408
757,43.616788,-101.632296
762,44.548134,-101.482888
770,44.713267,-104.036358
771,44.499183,-101.775274
775,43.442554,-101.530375
782,45.233641,-101.645591
812,43.633617,-101.761254
820,43.9842383846154,-101.889729538462
837,43.440027,-102.019418
869,43.607204,-101.49178
993,45.680701,-100.762421
999,45.4628308181818,-101.239649727273
1040,45.712656,-101.110874
1061,45.645908,-100.879636
1075,43.379222,-102.225559
1078,43.296583,-102.231917
1089,45.243612,-101.328752
1091,43.180551,-102.291878
1140,43.345063,-102.457826
1143,43.263872,-102.830782
1148,43.227622,-102.372431
1151,43.14257,-102.398155
1153,43.177952,-102.427276
1154,43.202339,-102.49871
1157,43.195447,-102.543198
1159,43.159079,-102.57821
1169,43.075283,-102.544731
1195,43.9054,-102.590776
1223,43.274043,-102.47977
1230,43.0431,-102.63993
1233,43.083695,-102.731041
1252,44.007885,-103.337956
1255,43.956252,-103.259494
1256,44.032395,-103.308314
1257,44.042195,-103.234455
1265,43.914362,-103.299401
1267,43.886503,-103.463764
1268,43.9250288181818,-103.316204181818
1269,44.007616,-103.405205
1270,43.965533,-103.388986
1271,44.021646,-103.474467
1272,44.036611,-103.744129
1273,43.7410295714286,-103.272705337662
1274,43.864189,-103.558007
1275,43.90201,-103.598745
1276,44.080741,-103.821745
1277,44.090689,-103.884307
1279,43.906701,-103.720409
1280,43.929056,-103.923904
1281,43.936292,-103.984064
1282,43.932638,-104.043153
1283,44.13586,-103.998659
1284,44.062357,-104.001009
1291,44.417105,-102.209982
1293,43.927909,-102.487502
1300,45.147053,-102.662348
1303,44.132167,-103.349885
1306,43.993791,-103.709527
1307,44.024993,-103.627823
1821,44.574762,-103.18787
1848,44.375271,-103.381104
1863,44.180107,-103.380139
1884,44.450785,-103.548457
1888,44.218284,-103.337387
1889,44.260016,-103.370452
1890,44.307033,-103.531643
1891,44.267148,-103.56707
1892,44.159187,-103.429991
4001,43.843204,-104.004679
4002,43.849274,-103.930185
4003,43.84443,-103.886333
4004,43.836896,-103.81722
4005,43.853294,-103.757429
4006,43.840795,-103.699523
4008,43.445367,-103.891406
4009,43.438256,-103.836203
4010,43.84413,-103.437083
4022,44.436451,-103.992481
4023,43.8901530507246,-104.001290137681
4024,43.803492,-103.94835
4025,43.79924,-103.88673
4026,43.791825,-103.816284
4027,43.6232992568807,-103.767915715596
4028,43.796056,-103.699219
4029,43.8461047894737,-103.802353263158
4030,43.9740988235294,-103.678899117647
4031,44.385007,-103.871404
4035,44.37527,-103.619934
4036,44.341663,-103.986184
4037,44.333707,-103.936104
4044,44.2904604513274,-103.942769539823
4045,44.0252735,-103.93096175
4046,44.0187875806452,-103.884284903226
4047,44.161288119403,-103.779911455224
4048,44.112756,-103.745261
4049,44.0799320969163,-103.653714162996
4050,44.257331,-104.000345
4051,44.147398,-103.669138041096
4053,44.114924,-103.437018
4054,44.229552031746,-103.696033820106
4057,44.24394,-103.553137
4060,44.205012,-103.927564
4061,44.210806,-103.872493
4063,44.19746,-103.754164
4064,44.208363,-103.690905
4065,44.204067,-103.630864
4066,44.0872600621469,-103.639651677966
4067,44.0406415963303,-103.60264433945
4069,44.165109,-103.936851
4070,43.8798640273973,-103.725990082192
4071,44.0043724680851,-103.730042074468
4072,43.705917,-103.502283
4074,44.158586,-103.634616
4075,44.159104,-103.567791
4076,44.1524,-103.507205
4078,44.069995,-103.881346
4080,44.069511,-103.760491
4081,44.062485,-103.685741
4082,44.06818,-103.619551
4083,44.061174,-103.56354
4085,44.058112,-103.438836
4086,44.06733,-103.392481
4087,43.661635,-103.827586
4088,43.665747,-103.751482
4089,43.66323,-103.693444
4090,43.665134,-103.636927
4091,43.659399,-103.565736
4092,43.659384,-103.515819
4108,43.7461637777778,-103.748114122807
4109,44.026873,-103.943794
4111,44.024652,-103.816884
4113,44.019679,-103.681172
4115,44.017553,-103.571073
4119,43.577633,-104.018102
4125,43.573145,-103.64208
4127,43.566427,-103.515075
4137,43.530054,-103.939215
4140,43.98418,-104.005558
4141,43.982812,-103.946015
4142,43.977934,-103.883748
4146,43.972308,-103.636471
4147,43.977376,-103.561982
4148,43.976045,-103.513954
4149,43.973249,-103.447338
4155,43.481555,-103.88108
4161,43.486688,-103.51579
4174,43.938498,-103.874945
4177,43.93062,-103.700986
4178,43.934462,-103.636623
4180,43.931248,-103.504465
4181,43.927503,-103.447388
4182,43.924118,-103.385178
4204,43.895546,-104.007745
4205,43.892359,-103.936416
4206,43.886388,-103.877264
4207,43.889988,-103.820675
4208,43.894772,-103.758824
4209,43.891685,-103.693058
4210,43.88053,-103.633059
4212,43.892053,-103.506588
4214,43.885578,-103.387221
4221,45.361782,-103.145647
4280,44.330201,-103.551974
4281,44.331934,-103.493957
4301,44.288668,-103.491625
4302,44.291093,-103.437314
4320,44.242971,-103.440793
4355,44.156155,-103.442534
7050,43.731196,-104.046498
7051,43.730485,-103.973719
7072,44.218507,-103.473281
7076,44.097472,-103.969898
7143,44.008629,-103.916139
7144,44.006442,-103.842252
7145,44.007857,-103.786609
7147,43.505611,-103.784506
7211,43.909758,-103.787191
7213,43.903971,-103.666564
7326,44.220932,-103.394732
8564,44.293914,-103.578623
8589,44.227959,-103.561537
