"","SPCD","State","PLOT","maxAWS","geometry","Common","Species"
"1","68","NE",273,429.317504882812,c(-100.104548, 40.2063125),"eastern redcedar","Juniperus virginiana"
"2","122","NE",262,415.619995117188,c(-97.6959986511628, 41.5759313953488),"ponderosa pine","Pinus ponderosa"
"3","313","NE",258,428.297485351562,c(-97.8103431176471, 41.7456277745098),"boxelder","Acer negundo"
"4","462","NE",264,425.477478027344,c(-100.517548117647, 40.3953873823529),"hackberry","Celtis occidentalis"
"5","544","NE",273,429.317504882812,c(-100.104548, 40.2063125),"green ash","Fraxinus pennsylvanica"
"6","602","NE",200,406.14501953125,c(-96.9655298098472, 41.9364609490662),"black walnut","Juglans nigra"
"7","701","NE",200,406.14501953125,c(-96.9655298098472, 41.9364609490662),"ironwood","Ostrya virginiana"
"8","742","NE",273,429.317504882812,c(-100.104548, 40.2063125),"east. cottonwood","Populus deltoides"
"9","763","NE",223,355.600006103516,c(-98.415406763285, 41.3096614710145),"chokecherry","Prunus virginiana"
"10","766","NE",745,138.875,c(-99.05458, 42.544498),"American plum","Prunus americana"
"11","823","NE",370,425.137512207031,c(-98.182157, 42.563511),"bur oak","Quercus macrocarpa"
"12","921","NE",258,428.297485351562,c(-97.8103431176471, 41.7456277745098),"peachleaf willow","Salix amygdaloides"
"13","951","NE",200,406.14501953125,c(-96.9655298098472, 41.9364609490662),"basswood","Tilia americana"
"14","972","NE",273,429.317504882812,c(-100.104548, 40.2063125),"American elm","Ulmus americana"
"15","975","NE",262,415.619995117188,c(-97.6959986511628, 41.5759313953488),"slippery elm","Ulmus rubra"
"16","68","WI",205,400.450012207031,c(-89.9217429268293, 44.657331495935),"eastern redcedar","Juniperus virginiana"
"17","313","WI",349,538.080017089844,c(-91.5881969470199, 45.2368007350993),"boxelder","Acer negundo"
"18","375","WI",9016,587.255004882812,c(-90.199231, 46.2959945833333),"paper birch","Betula papyrifera"
"19","462","WI",205,400.450012207031,c(-89.9217429268293, 44.657331495935),"hackberry","Celtis occidentalis"
"20","544","WI",563,582.775024414062,c(-89.9412177894737, 45.8023935526316),"green ash","Fraxinus pennsylvanica"
"21","602","WI",281,461.017517089844,c(-91.206731423913, 45.2125288695652),"black walnut","Juglans nigra"
"22","701","WI",349,538.080017089844,c(-91.5881969470199, 45.2368007350993),"ironwood","Ostrya virginiana"
"23","742","WI",237,498.172485351562,c(-90.2495359671362, 44.3286367981221),"east. cottonwood","Populus deltoides"
"24","763","WI",368,511.524993896484,c(-91.4122538148148, 45.4380081851852),"chokecherry","Prunus virginiana"
"25","766","WI",291,512.89501953125,c(-90.4879337625418, 44.0804698996656),"American plum","Prunus americana"
"26","823","WI",563,582.775024414062,c(-89.9412177894737, 45.8023935526316),"bur oak","Quercus macrocarpa"
"27","920","WI",21,440.399993896484,c(-91.859912208, 45.61106076),"willow spp.","Salix spp."
"28","921","WI",229,410.834991455078,c(-89.92762525, 44.3102560480769),"peachleaf willow","Salix amygdaloides"
"29","951","WI",9037,620.809997558594,c(-88.790953, 45.819503),"basswood","Tilia americana"
"30","972","WI",349,538.080017089844,c(-91.5881969470199, 45.2368007350993),"American elm","Ulmus americana"
"31","975","WI",291,512.89501953125,c(-90.4879337625418, 44.0804698996656),"slippery elm","Ulmus rubra"
"32","68","MO",92,379.119995117188,c(-93.1558267722513, 38.8426402958115),"eastern redcedar","Juniperus virginiana"
"33","68","MO",100,379.119995117188,c(-93.3102103058824, 38.7634440470588),"eastern redcedar","Juniperus virginiana"
"34","313","MO",92,379.119995117188,c(-93.1558267722513, 38.8426402958115),"boxelder","Acer negundo"
"35","313","MO",100,379.119995117188,c(-93.3102103058824, 38.7634440470588),"boxelder","Acer negundo"
"36","462","MO",92,379.119995117188,c(-93.1558267722513, 38.8426402958115),"hackberry","Celtis occidentalis"
"37","462","MO",100,379.119995117188,c(-93.3102103058824, 38.7634440470588),"hackberry","Celtis occidentalis"
"38","544","MO",92,379.119995117188,c(-93.1558267722513, 38.8426402958115),"green ash","Fraxinus pennsylvanica"
"39","602","MO",92,379.119995117188,c(-93.1558267722513, 38.8426402958115),"black walnut","Juglans nigra"
"40","602","MO",100,379.119995117188,c(-93.3102103058824, 38.7634440470588),"black walnut","Juglans nigra"
"41","701","MO",92,379.119995117188,c(-93.1558267722513, 38.8426402958115),"ironwood","Ostrya virginiana"
"42","742","MO",92,379.119995117188,c(-93.1558267722513, 38.8426402958115),"east. cottonwood","Populus deltoides"
"43","763","MO",55,329.012512207031,c(-92.8442436156863, 38.9652435137255),"chokecherry","Prunus virginiana"
"44","766","MO",92,379.119995117188,c(-93.1558267722513, 38.8426402958115),"American plum","Prunus americana"
"45","823","MO",92,379.119995117188,c(-93.1558267722513, 38.8426402958115),"bur oak","Quercus macrocarpa"
"46","920","MO",72,186.009994506836,c(-92.3393633174157, 38.5277684044944),"willow spp.","Salix spp."
"47","921","MO",204,345.640014648438,c(-92.7243056565657, 38.802945952862),"peachleaf willow","Salix amygdaloides"
"48","951","MO",92,379.119995117188,c(-93.1558267722513, 38.8426402958115),"basswood","Tilia americana"
"49","951","MO",100,379.119995117188,c(-93.3102103058824, 38.7634440470588),"basswood","Tilia americana"
"50","972","MO",294,398.480010986328,c(-89.831573, 36.938329),"American elm","Ulmus americana"
"51","975","MO",92,379.119995117188,c(-93.1558267722513, 38.8426402958115),"slippery elm","Ulmus rubra"
"52","975","MO",100,379.119995117188,c(-93.3102103058824, 38.7634440470588),"slippery elm","Ulmus rubra"
"53","68","SD",267,327.929992675781,c(-98.043458, 43.889873),"eastern redcedar","Juniperus virginiana"
"54","122","SD",417,351.087493896484,c(-97.9999773125, 45.5824035),"ponderosa pine","Pinus ponderosa"
"55","313","SD",337,402.309997558594,c(-96.882513, 43.684049),"boxelder","Acer negundo"
"56","375","SD",228,239.434997558594,c(-103.247408, 44.2444534285714),"paper birch","Betula papyrifera"
"57","602","SD",673,162.537506103516,c(-99.810035, 43.166097),"black walnut","Juglans nigra"
"58","701","SD",417,351.087493896484,c(-97.9999773125, 45.5824035),"ironwood","Ostrya virginiana"
"59","742","SD",603,296.615020751953,c(-100.605451, 43.759696),"east. cottonwood","Populus deltoides"
"60","763","SD",229,296.327514648438,c(-97.6313178142857, 44.0584243571429),"chokecherry","Prunus virginiana"
"61","766","SD",993,189.836669921875,c(-100.762421, 45.680701),"American plum","Prunus americana"
"62","823","SD",417,351.087493896484,c(-97.9999773125, 45.5824035),"bur oak","Quercus macrocarpa"
"63","920","SD",603,296.615020751953,c(-100.605451, 43.759696),"willow spp.","Salix spp."
"64","921","SD",638,125.455001831055,c(-99.41607, 43.795603),"peachleaf willow","Salix amygdaloides"
