"","SPCD","State","PLOT","lat","lon","maxRain","Common","Species"
"1","68","NE",241,40.687069,-96.29166,139.165853658537,"eastern redcedar","Juniperus virginiana"
"2","122","NE",209,41.057781043956,-97.7952546593407,128.262195121951,"ponderosa pine","Pinus ponderosa"
"3","313","NE",202,40.7940297165354,-96.8167961574803,130.743658536585,"boxelder maple","Acer negundo"
"4","462","NE",243,41.0389580291262,-96.8383060582524,132.435365853659,"hackberry","Celtis occidentalis"
"5","544","NE",207,40.4234131836735,-96.7018264693878,131.79756097561,"green ash","Fraxinus pennsylvanica"
"6","602","NE",243,41.0389580291262,-96.8383060582524,132.435365853659,"black walnut","Juglans nigra"
"7","701","NE",207,40.4234131836735,-96.7018264693878,131.79756097561,"eastern hophornbeam","Ostrya virginiana"
"8","742","NE",202,40.7940297165354,-96.8167961574803,130.743658536585,"eastern cottonwood","Populus deltoides"
"9","763","NE",223,41.3096614710145,-98.415406763285,113.400243902439,"chokecherry","Prunus virginiana"
"10","766","NE",236,42.2945377172414,-99.2531155103448,105.287804878049,"American plum","Prunus americana"
"11","823","NE",243,41.0389580291262,-96.8383060582524,132.435365853659,"bur oak","Quercus macrocarpa"
"12","921","NE",221,40.7832538493151,-97.6010023561644,129.63243902439,"peachleaf willow","Salix amygdaloides"
"13","951","NE",243,41.0389580291262,-96.8383060582524,132.435365853659,"American basswood","Tilia americana"
"14","972","NE",243,41.0389580291262,-96.8383060582524,132.435365853659,"American elm","Ulmus americana"
"15","975","NE",243,41.0389580291262,-96.8383060582524,132.435365853659,"slippery elm","Ulmus rubra"
"16","68","WI",236,43.0674759496403,-89.9009974460432,136.290975609756,"eastern redcedar","Juniperus virginiana"
"17","313","WI",284,43.0239212119565,-89.9054057065217,138.753658536585,"boxelder maple","Acer negundo"
"18","375","WI",284,43.0239212119565,-89.9054057065217,138.753658536585,"paper birch","Betula papyrifera"
"19","462","WI",284,43.0239212119565,-89.9054057065217,138.753658536585,"hackberry","Celtis occidentalis"
"20","544","WI",284,43.0239212119565,-89.9054057065217,138.753658536585,"green ash","Fraxinus pennsylvanica"
"21","602","WI",284,43.0239212119565,-89.9054057065217,138.753658536585,"black walnut","Juglans nigra"
"22","701","WI",284,43.0239212119565,-89.9054057065217,138.753658536585,"eastern hophornbeam","Ostrya virginiana"
"23","742","WI",239,43.427132419244,-89.765628,134.954634146341,"eastern cottonwood","Populus deltoides"
"24","763","WI",239,43.427132419244,-89.765628,134.954634146341,"chokecherry","Prunus virginiana"
"25","766","WI",202,44.1669967880795,-90.8208179072848,132.370487804878,"American plum","Prunus americana"
"26","823","WI",284,43.0239212119565,-89.9054057065217,138.753658536585,"bur oak","Quercus macrocarpa"
"27","920","WI",191,44.7782963333333,-90.6593262638889,124.558536585366,"willow spp.","Salix spp."
"28","921","WI",461,43.5904798736842,-90.5637079052632,127.822926829268,"peachleaf willow","Salix amygdaloides"
"29","951","WI",284,43.0239212119565,-89.9054057065217,138.753658536585,"American basswood","Tilia americana"
"30","972","WI",284,43.0239212119565,-89.9054057065217,138.753658536585,"American elm","Ulmus americana"
"31","975","WI",284,43.0239212119565,-89.9054057065217,138.753658536585,"slippery elm","Ulmus rubra"
"32","68","MO",268,37.5263292727273,-90.6700767272727,153.43756097561,"eastern redcedar","Juniperus virginiana"
"33","313","MO",123,38.4270157651007,-92.9730397281879,152.407073170732,"boxelder maple","Acer negundo"
"34","462","MO",268,37.5263292727273,-90.6700767272727,153.43756097561,"hackberry","Celtis occidentalis"
"35","544","MO",254,37.3832750384615,-91.222752525641,153.316585365854,"green ash","Fraxinus pennsylvanica"
"36","602","MO",254,37.3832750384615,-91.222752525641,153.316585365854,"black walnut","Juglans nigra"
"37","701","MO",9029,37.623212,-90.853491,154.315609756098,"eastern hophornbeam","Ostrya virginiana"
"38","742","MO",91,38.4482593129252,-92.9900602653061,151.494634146341,"eastern cottonwood","Populus deltoides"
"39","763","MO",211,38.6474616608187,-93.7141740935673,149.852195121951,"chokecherry","Prunus virginiana"
"40","766","MO",234,38.3055645912409,-92.9540175839416,151.190487804878,"American plum","Prunus americana"
"41","823","MO",123,38.4270157651007,-92.9730397281879,152.407073170732,"bur oak","Quercus macrocarpa"
"42","920","MO",72,38.5277684044944,-92.3393633174157,133.72756097561,"willow spp.","Salix spp."
"43","921","MO",91,38.4482593129252,-92.9900602653061,151.494634146341,"peachleaf willow","Salix amygdaloides"
"44","951","MO",254,37.3832750384615,-91.222752525641,153.316585365854,"American basswood","Tilia americana"
"45","972","MO",254,37.3832750384615,-91.222752525641,153.316585365854,"American elm","Ulmus americana"
"46","975","MO",268,37.5263292727273,-90.6700767272727,153.43756097561,"slippery elm","Ulmus rubra"
"47","68","SD",219,43.242671,-96.597242,124.374146341463,"eastern redcedar","Juniperus virginiana"
"48","122","SD",232,44.336077,-103.863579,133.294634146341,"ponderosa pine","Pinus ponderosa"
"49","313","SD",10448,44.298662,-103.538571,127.56487804878,"boxelder maple","Acer negundo"
"50","375","SD",232,44.336077,-103.863579,133.294634146341,"paper birch","Betula papyrifera"
"51","462","SD",316,44.52555,-97.174391,107.657804878049,"hackberry","Celtis occidentalis"
"52","544","SD",337,43.684049,-96.882513,117.527073170732,"green ash","Fraxinus pennsylvanica"
"53","602","SD",673,43.166097,-99.810035,104.712195121951,"black walnut","Juglans nigra"
"54","701","SD",217,44.398219,-103.654978,123.002926829268,"eastern hophornbeam","Ostrya virginiana"
"55","742","SD",673,43.166097,-99.810035,104.712195121951,"eastern cottonwood","Populus deltoides"
"56","763","SD",211,44.4663199795918,-103.587707530612,110.798780487805,"chokecherry","Prunus virginiana"
"57","766","SD",650,44.203809,-100.600169,87.2585365853659,"American plum","Prunus americana"
"58","823","SD",218,44.36566,-103.693337,129.782682926829,"bur oak","Quercus macrocarpa"
"59","920","SD",10513,44.346115,-103.943599,118.490975609756,"willow spp.","Salix spp."
"60","921","SD",638,43.795603,-99.41607,90.6363414634146,"peachleaf willow","Salix amygdaloides"
"61","951","SD",448,43.2705393444444,-99.953238737037,100.850243902439,"American basswood","Tilia americana"
"62","972","SD",220,44.4149281125,-103.6448562875,124.836585365854,"American elm","Ulmus americana"
"63","975","SD",464,43.349402,-99.16078,106.337804878049,"slippery elm","Ulmus rubra"
"64","68","OH",6895,39.452096,-84.741739,141.516585365854,"eastern redcedar","Juniperus virginiana"
"65","313","OH",6903,39.344262,-84.812289,143.671463414634,"boxelder maple","Acer negundo"
"66","375","OH",5510,40.935424,-81.43074,113.34756097561,"paper birch","Betula papyrifera"
"67","462","OH",6899,39.282921,-84.582095,143.646097560976,"hackberry","Celtis occidentalis"
"68","544","OH",6480,38.967793,-84.078745,140.765853658537,"green ash","Fraxinus pennsylvanica"
"69","602","OH",6903,39.344262,-84.812289,143.671463414634,"black walnut","Juglans nigra"
