"","SPCD","State","PLOT","maxSOC","geometry","Common","Species"
"1","68","NE",1257,42153.5,c(-100.532631, 42.824234),"eastern redcedar","Juniperus virginiana"
"2","122","NE",1443,24577,c(-101.050066, 42.797594),"ponderosa pine","Pinus ponderosa"
"3","313","NE",206,26179.5,c(-96.282290875, 41.114491),"boxelder","Acer negundo"
"4","462","NE",208,25165,c(-96.29422435, 41.1358489),"hackberry","Celtis occidentalis"
"5","544","NE",206,26179.5,c(-96.282290875, 41.114491),"green ash","Fraxinus pennsylvanica"
"6","602","NE",238,21775.5,c(-98.4739500606061, 40.9248137651515),"black walnut","Juglans nigra"
"7","701","NE",210,17937.5,c(-96.4140305140845, 41.0143368873239),"ironwood","Ostrya virginiana"
"8","742","NE",206,26179.5,c(-96.282290875, 41.114491),"east. cottonwood","Populus deltoides"
"9","763","NE",1443,24577,c(-101.050066, 42.797594),"chokecherry","Prunus virginiana"
"10","766","NE",745,14179.25,c(-99.05458, 42.544498),"American plum","Prunus americana"
"11","823","NE",271,24239,c(-97.969594915493, 42.5149393239437),"bur oak","Quercus macrocarpa"
"12","921","NE",258,20851.75,c(-97.8103431176471, 41.7456277745098),"peachleaf willow","Salix amygdaloides"
"13","951","NE",210,17937.5,c(-96.4140305140845, 41.0143368873239),"basswood","Tilia americana"
"14","972","NE",206,26179.5,c(-96.282290875, 41.114491),"American elm","Ulmus americana"
"15","975","NE",227,21290.5,c(-97.0478204736842, 41.5606509298246),"slippery elm","Ulmus rubra"
"16","68","WI",250,68157.5,c(-88.9102748125, 44.3337109866071),"eastern redcedar","Juniperus virginiana"
"17","313","WI",291,103621.5,c(-90.4879337625418, 44.0804698996656),"boxelder","Acer negundo"
"18","375","WI",563,130022,c(-89.9412177894737, 45.8023935526316),"paper birch","Betula papyrifera"
"19","462","WI",228,76495.75,c(-89.6694581807229, 44.0174829668675),"hackberry","Celtis occidentalis"
"20","544","WI",563,130022,c(-89.9412177894737, 45.8023935526316),"green ash","Fraxinus pennsylvanica"
"21","602","WI",250,68157.5,c(-88.9102748125, 44.3337109866071),"black walnut","Juglans nigra"
"22","701","WI",9036,129971.25,c(-90.3931573333333, 46.2025843333333),"ironwood","Ostrya virginiana"
"23","742","WI",237,98184,c(-90.2495359671362, 44.3286367981221),"east. cottonwood","Populus deltoides"
"24","763","WI",306,99015.25,c(-89.2359653703704, 45.72156025),"chokecherry","Prunus virginiana"
"25","766","WI",291,103621.5,c(-90.4879337625418, 44.0804698996656),"American plum","Prunus americana"
"26","823","WI",563,130022,c(-89.9412177894737, 45.8023935526316),"bur oak","Quercus macrocarpa"
"27","920","WI",250,68157.5,c(-88.9102748125, 44.3337109866071),"willow spp.","Salix spp."
"28","921","WI",229,83179,c(-89.92762525, 44.3102560480769),"peachleaf willow","Salix amygdaloides"
"29","951","WI",9037,129845.5,c(-88.790953, 45.819503),"basswood","Tilia americana"
"30","972","WI",9036,129971.25,c(-90.3931573333333, 46.2025843333333),"American elm","Ulmus americana"
"31","975","WI",291,103621.5,c(-90.4879337625418, 44.0804698996656),"slippery elm","Ulmus rubra"
"32","68","MO",102,21325.5,c(-92.7908035015773, 38.5951224511041),"eastern redcedar","Juniperus virginiana"
"33","313","MO",102,21325.5,c(-92.7908035015773, 38.5951224511041),"boxelder","Acer negundo"
"34","462","MO",194,25906.5,c(-94.662419, 40.265099),"hackberry","Celtis occidentalis"
"35","544","MO",194,25906.5,c(-94.662419, 40.265099),"green ash","Fraxinus pennsylvanica"
"36","602","MO",102,21325.5,c(-92.7908035015773, 38.5951224511041),"black walnut","Juglans nigra"
"37","701","MO",102,21325.5,c(-92.7908035015773, 38.5951224511041),"ironwood","Ostrya virginiana"
"38","742","MO",92,17187,c(-93.1558267722513, 38.8426402958115),"east. cottonwood","Populus deltoides"
"39","763","MO",211,12174.25,c(-93.7141740935673, 38.6474616608187),"chokecherry","Prunus virginiana"
"40","766","MO",194,25906.5,c(-94.662419, 40.265099),"American plum","Prunus americana"
"41","823","MO",115,20119.5,c(-93.7145013238095, 39.299631584127),"bur oak","Quercus macrocarpa"
"42","920","MO",72,5965.25,c(-92.3393633174157, 38.5277684044944),"willow spp.","Salix spp."
"43","921","MO",204,11552,c(-92.7243056565657, 38.802945952862),"peachleaf willow","Salix amygdaloides"
"44","951","MO",102,21325.5,c(-92.7908035015773, 38.5951224511041),"basswood","Tilia americana"
"45","972","MO",102,21325.5,c(-92.7908035015773, 38.5951224511041),"American elm","Ulmus americana"
