"","SPCD","State","PLOT","lat","lon","maxASR","Common","Species"
"1","68","NE",266,41.8188914557823,-103.555358843537,441.641056910569,"eastern redcedar","Juniperus virginiana"
"2","122","NE",269,41.519227,-103.557219,445.646544715447,"ponderosa pine","Pinus ponderosa"
"3","313","NE",393,42.601912,-103.293551,433.846723577236,"boxelder maple","Acer negundo"
"4","462","NE",222,41.1136387662338,-101.483967253247,427.100032520325,"hackberry","Celtis occidentalis"
"5","544","NE",393,42.601912,-103.293551,433.846723577236,"green ash","Fraxinus pennsylvanica"
"6","602","NE",486,42.916279,-102.565679,424.598178861789,"black walnut","Juglans nigra"
"7","701","NE",1252,42.877345,-100.489191,411.343016260163,"eastern hophornbeam","Ostrya virginiana"
"8","742","NE",417,42.617497,-103.563165,441.347463414634,"eastern cottonwood","Populus deltoides"
"9","763","NE",617,41.7075945116279,-102.006189674419,428.518788617886,"chokecherry","Prunus virginiana"
"10","766","NE",226,41.0528422234043,-100.837653265957,420.789113821138,"American plum","Prunus americana"
"11","823","NE",222,41.1136387662338,-101.483967253247,427.100032520325,"bur oak","Quercus macrocarpa"
"12","921","NE",264,40.3953873823529,-100.517548117647,421.709089430894,"peachleaf willow","Salix amygdaloides"
"13","951","NE",254,42.0656148365385,-98.9444739182692,405.793097560976,"American basswood","Tilia americana"
"14","972","NE",471,42.745265,-103.552706,436.470658536585,"American elm","Ulmus americana"
"15","975","NE",284,40.883838,-99.318862,414.724861788618,"slippery elm","Ulmus rubra"
"16","68","WI",18,46.0448890543131,-90.0246289744409,420.053829268293,"eastern redcedar","Juniperus virginiana"
"17","313","WI",155,45.2858007153846,-88.7447235615385,420.557,"boxelder maple","Acer negundo"
"18","375","WI",555,46.2712656545455,-89.9512161090909,432.831,"paper birch","Betula papyrifera"
"19","462","WI",619,45.5618757,-88.6495052,424.020463414634,"hackberry","Celtis occidentalis"
"20","544","WI",288,46.360194,-90.321229,431.766766325728,"green ash","Fraxinus pennsylvanica"
"21","602","WI",37,45.7928495070422,-90.0667870704225,416.598325203252,"black walnut","Juglans nigra"
"22","701","WI",504,46.2672623103448,-90.4164913103448,429.495764227642,"eastern hophornbeam","Ostrya virginiana"
"23","742","WI",155,45.2858007153846,-88.7447235615385,420.557,"eastern cottonwood","Populus deltoides"
"24","763","WI",742,46.3054264193548,-90.4290694516129,427.987894308943,"chokecherry","Prunus virginiana"
"25","766","WI",468,46.5591093333333,-91.4204303636364,412.343544715447,"American plum","Prunus americana"
"26","823","WI",634,45.5421625357143,-88.9924428214286,427.459569105691,"bur oak","Quercus macrocarpa"
"27","920","WI",531,45.6570755,-90.5422233333333,411.089073170732,"willow spp.","Salix spp."
"28","921","WI",143,46.0274408813559,-90.4579413898305,414.833447154472,"peachleaf willow","Salix amygdaloides"
"29","951","WI",86,46.3333922,-90.0872842,436.586813532651,"American basswood","Tilia americana"
"30","972","WI",86,46.3333922,-90.0872842,436.586813532651,"American elm","Ulmus americana"
"31","975","WI",142,45.811546037037,-88.4030464814815,424.844317073171,"slippery elm","Ulmus rubra"
"32","68","MO",318,37.050517,-91.331974,411.429585365854,"eastern redcedar","Juniperus virginiana"
"33","313","MO",329,36.90576,-91.8951306153846,408.315097560976,"boxelder maple","Acer negundo"
"34","462","MO",298,36.699284,-91.7068263076923,410.339276422764,"hackberry","Celtis occidentalis"
"35","544","MO",9013,37.0077196136364,-91.7392304772727,409.900308943089,"green ash","Fraxinus pennsylvanica"
"36","602","MO",298,36.699284,-91.7068263076923,410.339276422764,"black walnut","Juglans nigra"
"37","701","MO",298,36.699284,-91.7068263076923,410.339276422764,"eastern hophornbeam","Ostrya virginiana"
"38","742","MO",220,37.1760397705882,-92.7319887235294,402.921829268293,"eastern cottonwood","Populus deltoides"
"39","763","MO",94,38.1131921393189,-92.4686552848297,394.211154471545,"chokecherry","Prunus virginiana"
"40","766","MO",197,37.1515961458333,-91.337375625,407.801878048781,"American plum","Prunus americana"
"41","823","MO",278,37.27473,-92.078882,401.747308943089,"bur oak","Quercus macrocarpa"
"42","920","MO",72,38.5277684044944,-92.3393633174157,391.259845528455,"willow spp.","Salix spp."
"43","921","MO",28,38.882845033241,-92.0225082714681,393.074113821138,"peachleaf willow","Salix amygdaloides"
"44","951","MO",329,36.90576,-91.8951306153846,408.315097560976,"American basswood","Tilia americana"
"45","972","MO",319,37.01538,-91.510286,411.194536585366,"American elm","Ulmus americana"
"46","975","MO",9013,37.0077196136364,-91.7392304772727,409.900308943089,"slippery elm","Ulmus rubra"
"47","68","SD",247,44.086913244898,-103.421572673469,417.10281300813,"eastern redcedar","Juniperus virginiana"
"48","122","SD",10151,44.142473,-103.941863,478.162399685287,"ponderosa pine","Pinus ponderosa"
"49","313","SD",10448,44.298662,-103.538571,428.829357723577,"boxelder maple","Acer negundo"
"50","375","SD",4050,44.257331,-104.000345,464.102029897718,"paper birch","Betula papyrifera"
"51","462","SD",1143,43.263872,-102.830782,422.889447154472,"hackberry","Celtis occidentalis"
"52","544","SD",222,44.182136,-104.005234,472.982006294257,"green ash","Fraxinus pennsylvanica"
"53","602","SD",563,43.256186,-100.57795,409.618512195122,"black walnut","Juglans nigra"
"54","701","SD",222,44.182136,-104.005234,472.982006294257,"eastern hophornbeam","Ostrya virginiana"
"55","742","SD",207,44.2022662631579,-103.316551105263,416.836471544715,"eastern cottonwood","Populus deltoides"
"56","763","SD",1140,43.345063,-102.457826,417.952170731707,"chokecherry","Prunus virginiana"
"57","766","SD",650,44.203809,-100.600169,404.787666666667,"American plum","Prunus americana"
"58","823","SD",222,44.182136,-104.005234,472.982006294257,"bur oak","Quercus macrocarpa"
"59","920","SD",10513,44.346115,-103.943599,430.952081300813,"willow spp.","Salix spp."
"60","921","SD",638,43.795603,-99.41607,396.703113821138,"peachleaf willow","Salix amygdaloides"
"61","951","SD",453,43.4954003510638,-101.646814989362,412.096073170732,"American basswood","Tilia americana"
"62","972","SD",220,44.4149281125,-103.6448562875,425.478650406504,"American elm","Ulmus americana"
