"","SPCD","State","PLOT","lat","lon","maxTC","Common","Species"
"1","68","NE",266,41.8188914557823,-103.555358843537,32.4083162863887,"eastern redcedar","Juniperus virginiana"
"2","122","NE",266,41.8188914557823,-103.555358843537,32.4083162863887,"ponderosa pine","Pinus ponderosa"
"3","313","NE",264,40.3953873823529,-100.517548117647,32.1058693941778,"boxelder maple","Acer negundo"
"4","462","NE",264,40.3953873823529,-100.517548117647,32.1058693941778,"hackberry","Celtis occidentalis"
"5","544","NE",261,40.075209,-98.566895,32.4048387096774,"green ash","Fraxinus pennsylvanica"
"6","602","NE",261,40.075209,-98.566895,32.4048387096774,"black walnut","Juglans nigra"
"7","701","NE",1252,42.877345,-100.489191,31.7262077104642,"eastern hophornbeam","Ostrya virginiana"
"8","742","NE",261,40.075209,-98.566895,32.4048387096774,"eastern cottonwood","Populus deltoides"
"9","763","NE",1443,42.797594,-101.050066,31.3004563335956,"chokecherry","Prunus virginiana"
"10","766","NE",226,41.0528422234043,-100.837653265957,31.3301730920535,"American plum","Prunus americana"
"11","823","NE",222,41.1136387662338,-101.483967253247,31.9845790715972,"bur oak","Quercus macrocarpa"
"12","921","NE",264,40.3953873823529,-100.517548117647,32.1058693941778,"peachleaf willow","Salix amygdaloides"
"13","951","NE",225,40.2153577730496,-97.9745509574468,31.6191109362707,"American basswood","Tilia americana"
"14","972","NE",261,40.075209,-98.566895,32.4048387096774,"American elm","Ulmus americana"
"15","975","NE",255,42.7632924375,-98.5141029807692,31.2406215578285,"slippery elm","Ulmus rubra"
"16","68","WI",148,44.0968804285714,-91.3668376530612,28.4821715184894,"eastern redcedar","Juniperus virginiana"
"17","313","WI",565,43.2651226388889,-90.8382305277778,28.7778363493312,"boxelder maple","Acer negundo"
"18","375","WI",260,44.0884470787402,-91.2674856456693,28.4856490952006,"paper birch","Betula papyrifera"
"19","462","WI",157,44.0900316692913,-91.0374387165354,28.5873092053501,"hackberry","Celtis occidentalis"
"20","544","WI",565,43.2651226388889,-90.8382305277778,28.7778363493312,"green ash","Fraxinus pennsylvanica"
"21","602","WI",565,43.2651226388889,-90.8382305277778,28.7778363493312,"black walnut","Juglans nigra"
"22","701","WI",157,44.0900316692913,-91.0374387165354,28.5873092053501,"eastern hophornbeam","Ostrya virginiana"
"23","742","WI",206,42.7123373125,-89.836270125,28.47089693155,"eastern cottonwood","Populus deltoides"
"24","763","WI",255,44.3302756666667,-91.4935518717949,28.3721636506688,"chokecherry","Prunus virginiana"
"25","766","WI",565,43.2651226388889,-90.8382305277778,28.7778363493312,"American plum","Prunus americana"
"26","823","WI",565,43.2651226388889,-90.8382305277778,28.7778363493312,"bur oak","Quercus macrocarpa"
"27","920","WI",474,44.0687826495726,-90.1848635811966,28.1109284028324,"willow spp.","Salix spp."
"28","921","WI",40,43.3009056590909,-89.87340275,28.4835877261998,"peachleaf willow","Salix amygdaloides"
"29","951","WI",268,44.519086,-92.041719,28.6770574350905,"American basswood","Tilia americana"
"30","972","WI",565,43.2651226388889,-90.8382305277778,28.7778363493312,"American elm","Ulmus americana"
