"","SPCD","State","PLOT","minAWS","geometry","Common","Species"
"1","68","NE",636,81.1966705322266,c(-98.700509, 42.801116),"eastern redcedar","Juniperus virginiana"
"2","122","NE",668,84.6600036621094,c(-100.794306, 41.046598),"ponderosa pine","Pinus ponderosa"
"3","313","NE",308,109.0625,c(-97.866526, 42.778804),"boxelder","Acer negundo"
"4","462","NE",257,104.199996948242,c(-99.8978361153846, 42.7390072937063),"hackberry","Celtis occidentalis"
"5","544","NE",226,84.6600036621094,c(-100.837653265957, 41.0528422234043),"green ash","Fraxinus pennsylvanica"
"6","602","NE",254,129.494995117188,c(-98.9444739182692, 42.0656148365385),"black walnut","Juglans nigra"
"7","701","NE",1252,97.6600036621094,c(-100.489191, 42.877345),"ironwood","Ostrya virginiana"
"8","742","NE",226,84.6600036621094,c(-100.837653265957, 41.0528422234043),"east. cottonwood","Populus deltoides"
"9","763","NE",617,129.615005493164,c(-102.006189674419, 41.7075945116279),"chokecherry","Prunus virginiana"
"10","766","NE",226,84.6600036621094,c(-100.837653265957, 41.0528422234043),"American plum","Prunus americana"
"11","823","NE",636,81.1966705322266,c(-98.700509, 42.801116),"bur oak","Quercus macrocarpa"
"12","921","NE",226,84.6600036621094,c(-100.837653265957, 41.0528422234043),"peachleaf willow","Salix amygdaloides"
"13","951","NE",254,129.494995117188,c(-98.9444739182692, 42.0656148365385),"basswood","Tilia americana"
"14","972","NE",226,84.6600036621094,c(-100.837653265957, 41.0528422234043),"American elm","Ulmus americana"
"15","972","NE",668,84.6600036621094,c(-100.794306, 41.046598),"American elm","Ulmus americana"
"16","975","NE",308,109.0625,c(-97.866526, 42.778804),"slippery elm","Ulmus rubra"
"17","68","WI",74,81.6800003051758,c(-90.8070363734177, 44.091755),"eastern redcedar","Juniperus virginiana"
"18","313","WI",466,67.9850006103516,c(-91.4535531526718, 44.8380482137405),"boxelder","Acer negundo"
"19","375","WI",247,60.4000015258789,c(-89.7538202372881, 45.7064051779661),"paper birch","Betula papyrifera"
"20","375","WI",421,60.4000015258789,c(-89.7497903461538, 45.6485090384615),"paper birch","Betula papyrifera"
"21","462","WI",320,77.7624969482422,c(-91.4329093546798, 44.7417042019704),"hackberry","Celtis occidentalis"
"22","544","WI",650,70.625,c(-91.942586440678, 46.1812258474576),"green ash","Fraxinus pennsylvanica"
"23","602","WI",466,67.9850006103516,c(-91.4535531526718, 44.8380482137405),"black walnut","Juglans nigra"
"24","701","WI",247,60.4000015258789,c(-89.7538202372881, 45.7064051779661),"ironwood","Ostrya virginiana"
