"","SPCD","State","PLOT","lat","lon","minRain","Common","Species"
"1","68","NE",617,41.7075945116279,-102.006189674419,7.46439024390244,"eastern redcedar","Juniperus virginiana"
"2","122","NE",402,42.476549,-103.407852,7.36048780487805,"ponderosa pine","Pinus ponderosa"
"3","313","NE",393,42.601912,-103.293551,8.51585365853659,"boxelder maple","Acer negundo"
"4","462","NE",347,42.6999806597938,-101.915184969072,8.87780487804878,"hackberry","Celtis occidentalis"
"5","544","NE",1769,42.859634,-100.236834,7.78634146341463,"green ash","Fraxinus pennsylvanica"
"6","602","NE",486,42.916279,-102.565679,9.67878048780488,"black walnut","Juglans nigra"
"7","701","NE",1252,42.877345,-100.489191,7.68219512195122,"eastern hophornbeam","Ostrya virginiana"
"8","742","NE",417,42.617497,-103.563165,7.26463414634146,"eastern cottonwood","Populus deltoides"
"9","763","NE",617,41.7075945116279,-102.006189674419,7.46439024390244,"chokecherry","Prunus virginiana"
"10","766","NE",226,41.0528422234043,-100.837653265957,8.60439024390244,"American plum","Prunus americana"
"11","823","NE",1769,42.859634,-100.236834,7.78634146341463,"bur oak","Quercus macrocarpa"
"12","921","NE",226,41.0528422234043,-100.837653265957,8.60439024390244,"peachleaf willow","Salix amygdaloides"
"13","951","NE",203,41.7616454478261,-97.9505213521739,13.7092682926829,"American basswood","Tilia americana"
"14","972","NE",617,41.7075945116279,-102.006189674419,7.46439024390244,"American elm","Ulmus americana"
"15","975","NE",214,42.7626499241379,-99.3407627344828,10.4265853658537,"slippery elm","Ulmus rubra"
"16","68","WI",203,44.8533426545455,-90.1280315309091,23.860487804878,"eastern redcedar","Juniperus virginiana"
"17","313","WI",187,45.5784205503356,-92.5421026040269,22.0095121951219,"boxelder maple","Acer negundo"
"18","375","WI",659,46.665364,-92.177971,21.3248780487805,"paper birch","Betula papyrifera"
"19","462","WI",404,44.8612543758389,-90.1344419664429,24.2487804878049,"hackberry","Celtis occidentalis"
"20","544","WI",659,46.665364,-92.177971,21.3248780487805,"green ash","Fraxinus pennsylvanica"
"21","602","WI",246,44.6895225024155,-90.214438178744,23.99,"black walnut","Juglans nigra"
"22","701","WI",187,45.5784205503356,-92.5421026040269,22.0095121951219,"eastern hophornbeam","Ostrya virginiana"
"23","742","WI",209,44.5435446309963,-90.3006698745388,24.6982926829268,"eastern cottonwood","Populus deltoides"
"24","763","WI",659,46.665364,-92.177971,21.3248780487805,"chokecherry","Prunus virginiana"
"25","766","WI",90,44.6320460909091,-90.2975783434343,24.5660975609756,"American plum","Prunus americana"
"26","823","WI",187,45.5784205503356,-92.5421026040269,22.0095121951219,"bur oak","Quercus macrocarpa"
"27","920","WI",209,44.5435446309963,-90.3006698745388,24.6982926829268,"willow spp.","Salix spp."
"28","921","WI",590,46.609684,-92.260502,21.7612195121951,"peachleaf willow","Salix amygdaloides"
"29","951","WI",697,46.7262147674419,-91.9773407209302,21.9043902439024,"American basswood","Tilia americana"
"30","972","WI",187,45.5784205503356,-92.5421026040269,22.0095121951219,"American elm","Ulmus americana"
"31","975","WI",203,44.8533426545455,-90.1280315309091,23.860487804878,"slippery elm","Ulmus rubra"
"32","68","MO",184,39.4580978275862,-94.3159233103448,33.5507317073171,"eastern redcedar","Juniperus virginiana"
"33","313","MO",115,39.299631584127,-93.7145013238095,33.7236585365854,"boxelder maple","Acer negundo"
"34","462","MO",194,40.265099,-94.662419,22.68,"hackberry","Celtis occidentalis"
"35","544","MO",194,40.265099,-94.662419,22.68,"green ash","Fraxinus pennsylvanica"
"36","602","MO",96,39.7028709230769,-93.6784968942308,32.1914634146341,"black walnut","Juglans nigra"
"37","701","MO",118,38.8146961451613,-93.6151541370968,38.0409756097561,"eastern hophornbeam","Ostrya virginiana"
"38","742","MO",184,39.4580978275862,-94.3159233103448,33.5507317073171,"eastern cottonwood","Populus deltoides"
"39","763","MO",211,38.6474616608187,-93.7141740935673,40.7324390243902,"chokecherry","Prunus virginiana"
"40","766","MO",194,40.265099,-94.662419,22.68,"American plum","Prunus americana"
"41","823","MO",184,39.4580978275862,-94.3159233103448,33.5507317073171,"bur oak","Quercus macrocarpa"
"42","920","MO",72,38.5277684044944,-92.3393633174157,52.289512195122,"willow spp.","Salix spp."
"43","921","MO",204,38.802945952862,-92.7243056565657,48.4582926829268,"peachleaf willow","Salix amygdaloides"
"44","951","MO",184,39.4580978275862,-94.3159233103448,33.5507317073171,"American basswood","Tilia americana"
"45","972","MO",96,39.7028709230769,-93.6784968942308,32.1914634146341,"American elm","Ulmus americana"
"46","975","MO",194,40.265099,-94.662419,22.68,"slippery elm","Ulmus rubra"
"47","68","SD",762,44.548134,-101.482888,6.07439024390244,"eastern redcedar","Juniperus virginiana"
"48","122","SD",231,44.1172770434783,-103.178983217391,6.13609756097561,"ponderosa pine","Pinus ponderosa"
"49","313","SD",1089,45.243612,-101.328752,6.37390243902439,"boxelder maple","Acer negundo"
"50","375","SD",228,44.2444534285714,-103.247408,7.82975609756098,"paper birch","Betula papyrifera"
"51","462","SD",228,44.2444534285714,-103.247408,7.82975609756098,"hackberry","Celtis occidentalis"
"52","544","SD",993,45.680701,-100.762421,5.66658536585366,"green ash","Fraxinus pennsylvanica"
"53","602","SD",563,43.256186,-100.57795,9.88780487804878,"black walnut","Juglans nigra"
"54","701","SD",1270,43.965533,-103.388986,9.11878048780488,"eastern hophornbeam","Ostrya virginiana"
"55","742","SD",698,44.624882,-101.252407,6.47414634146341,"eastern cottonwood","Populus deltoides"
"56","763","SD",993,45.680701,-100.762421,5.66658536585366,"chokecherry","Prunus virginiana"
"57","766","SD",993,45.680701,-100.762421,5.66658536585366,"American plum","Prunus americana"
"58","823","SD",1040,45.712656,-101.110874,7.08268292682927,"bur oak","Quercus macrocarpa"
"59","920","SD",698,44.624882,-101.252407,6.47414634146341,"willow spp.","Salix spp."
"60","921","SD",638,43.795603,-99.41607,9.06585365853659,"peachleaf willow","Salix amygdaloides"
"61","951","SD",448,43.2705393444444,-99.953238737037,10.0243902439024,"American basswood","Tilia americana"
"62","972","SD",1061,45.645908,-100.879636,4.95463414634146,"American elm","Ulmus americana"
"63","975","SD",464,43.349402,-99.16078,13.7168292682927,"slippery elm","Ulmus rubra"
"64","68","OH",6206,41.604039,-82.715743,50.1756097560976,"eastern redcedar","Juniperus virginiana"
"65","313","OH",7193,41.552588,-82.834154,49.7290243902439,"boxelder maple","Acer negundo"
