"","SPCD","State","PLOT","lat","lon","minASR","Common","Species"
"1","68","NE",567,42.763041,-98.326187,169.010845266195,"eastern redcedar","Juniperus virginiana"
"2","122","NE",623,42.98605,-102.479837,177.852845790716,"ponderosa pine","Pinus ponderosa"
"3","313","NE",319,42.758468,-97.954413,169.218927091529,"boxelder maple","Acer negundo"
"4","462","NE",567,42.763041,-98.326187,169.010845266195,"hackberry","Celtis occidentalis"
"5","544","NE",567,42.763041,-98.326187,169.010845266195,"green ash","Fraxinus pennsylvanica"
"6","602","NE",200,41.9364609490662,-96.9655298098472,179.035151062156,"black walnut","Juglans nigra"
"7","701","NE",200,41.9364609490662,-96.9655298098472,179.035151062156,"eastern hophornbeam","Ostrya virginiana"
"8","742","NE",308,42.778804,-97.866526,175.397596643063,"eastern cottonwood","Populus deltoides"
"9","763","NE",1443,42.797594,-101.050066,183.24689299764,"chokecherry","Prunus virginiana"
"10","766","NE",745,42.544498,-99.05458,180.329609493837,"American plum","Prunus americana"
"11","823","NE",567,42.763041,-98.326187,169.010845266195,"bur oak","Quercus macrocarpa"
"12","921","NE",735,42.810574,-99.132657,176.485509047994,"peachleaf willow","Salix amygdaloides"
"13","951","NE",200,41.9364609490662,-96.9655298098472,179.035151062156,"American basswood","Tilia americana"
"14","972","NE",567,42.763041,-98.326187,169.010845266195,"American elm","Ulmus americana"
"15","975","NE",255,42.7632924375,-98.5141029807692,170.681840807763,"slippery elm","Ulmus rubra"
"16","68","WI",18,46.0448890543131,-90.0246289744409,145.041020718594,"eastern redcedar","Juniperus virginiana"
"17","313","WI",481,46.3309135769231,-91.6971892211538,143.568045108838,"boxelder maple","Acer negundo"
"18","375","WI",745,46.787903,-90.890939,127.151606346709,"paper birch","Betula papyrifera"
"19","462","WI",411,46.1940785774648,-91.0285781971831,144.896451350643,"hackberry","Celtis occidentalis"
"20","544","WI",636,46.8818156285714,-90.9283780285714,127.546441122476,"green ash","Fraxinus pennsylvanica"
"21","602","WI",37,45.7928495070422,-90.0667870704225,146.053369525308,"black walnut","Juglans nigra"
"22","701","WI",636,46.8818156285714,-90.9283780285714,127.546441122476,"eastern hophornbeam","Ostrya virginiana"
"23","742","WI",393,46.49021362,-90.70470648,135.032553632311,"eastern cottonwood","Populus deltoides"
"24","763","WI",749,46.700066,-91.059199,135.958246525046,"chokecherry","Prunus virginiana"
"25","766","WI",468,46.5591093333333,-91.4204303636364,140.03694256491,"American plum","Prunus americana"
"26","823","WI",536,46.7679638,-90.7807360666667,127.254598741149,"bur oak","Quercus macrocarpa"
"27","920","WI",531,45.6570755,-90.5422233333333,148.688954891162,"willow spp.","Salix spp."
"28","921","WI",641,46.527627,-90.95939055,135.992236296879,"peachleaf willow","Salix amygdaloides"
"29","951","WI",536,46.7679638,-90.7807360666667,127.254598741149,"American basswood","Tilia americana"
"30","972","WI",554,46.7612968807339,-90.9889036697248,134.142574088644,"American elm","Ulmus americana"
"31","975","WI",393,46.49021362,-90.70470648,135.032553632311,"slippery elm","Ulmus rubra"
"32","68","MO",186,39.6271725,-93.59526505,185.747338054026,"eastern redcedar","Juniperus virginiana"
"33","313","MO",186,39.6271725,-93.59526505,185.747338054026,"boxelder maple","Acer negundo"
"34","462","MO",186,39.6271725,-93.59526505,185.747338054026,"hackberry","Celtis occidentalis"
"35","544","MO",194,40.265099,-94.662419,185.87443115657,"green ash","Fraxinus pennsylvanica"
"36","602","MO",85,38.9033273343195,-91.6146516863905,187.860929451875,"black walnut","Juglans nigra"
"37","701","MO",85,38.9033273343195,-91.6146516863905,187.860929451875,"eastern hophornbeam","Ostrya virginiana"
"38","742","MO",85,38.9033273343195,-91.6146516863905,187.860929451875,"eastern cottonwood","Populus deltoides"
"39","763","MO",55,38.9652435137255,-92.8442436156863,190.335097560976,"chokecherry","Prunus virginiana"
"40","766","MO",194,40.265099,-94.662419,185.87443115657,"American plum","Prunus americana"
"41","823","MO",115,39.299631584127,-93.7145013238095,188.908331759769,"bur oak","Quercus macrocarpa"
"42","920","MO",72,38.5277684044944,-92.3393633174157,195.524330710726,"willow spp.","Salix spp."
"43","921","MO",204,38.802945952862,-92.7243056565657,193.466101232625,"peachleaf willow","Salix amygdaloides"
"44","951","MO",134,39.1415515,-92.8107723793104,189.009755048518,"American basswood","Tilia americana"
"45","972","MO",85,38.9033273343195,-91.6146516863905,187.860929451875,"American elm","Ulmus americana"
"46","975","MO",194,40.265099,-94.662419,185.87443115657,"slippery elm","Ulmus rubra"
"47","68","SD",329,45.1717653076923,-100.263193153846,156.927823498558,"eastern redcedar","Juniperus virginiana"
"48","122","SD",417,45.5824035,-97.9999773125,153.164181746656,"ponderosa pine","Pinus ponderosa"
"49","313","SD",484,45.874975,-96.984091,145.463365066876,"boxelder maple","Acer negundo"
"50","375","SD",7326,44.220932,-103.394732,161.16085890375,"paper birch","Betula papyrifera"
"51","462","SD",279,45.182251,-96.752688,152.57509152898,"hackberry","Celtis occidentalis"
"52","544","SD",388,45.934844,-97.455538,142.731491476528,"green ash","Fraxinus pennsylvanica"
"53","602","SD",673,43.166097,-99.810035,175.707315499607,"black walnut","Juglans nigra"
"54","701","SD",417,45.5824035,-97.9999773125,153.164181746656,"eastern hophornbeam","Ostrya virginiana"
"55","742","SD",999,45.4628308181818,-101.239649727273,156.131691843693,"eastern cottonwood","Populus deltoides"
"56","763","SD",993,45.680701,-100.762421,149.741125622869,"chokecherry","Prunus virginiana"
"57","766","SD",993,45.680701,-100.762421,149.741125622869,"American plum","Prunus americana"
"58","823","SD",388,45.934844,-97.455538,142.731491476528,"bur oak","Quercus macrocarpa"
"59","920","SD",698,44.624882,-101.252407,161.548177812746,"willow spp.","Salix spp."
"60","921","SD",638,43.795603,-99.41607,166.271194335169,"peachleaf willow","Salix amygdaloides"
"61","951","SD",477,44.6214904201681,-100.020126428571,162.96193495935,"American basswood","Tilia americana"
"62","972","SD",511,45.63486,-97.09049,148.012221610281,"American elm","Ulmus americana"
"63","975","SD",464,43.349402,-99.16078,167.001177025964,"slippery elm","Ulmus rubra"
"64","68","OH",6206,41.604039,-82.715743,152.234649357461,"eastern redcedar","Juniperus virginiana"
"65","313","OH",7193,41.552588,-82.834154,152.789844217152,"boxelder maple","Acer negundo"
"66","375","OH",5510,40.935424,-81.43074,166.806062942565,"paper birch","Betula papyrifera"
"67","462","OH",7156,41.356201,-83.319398,158.729484395489,"hackberry","Celtis occidentalis"
"68","544","OH",5486,41.706025,-81.072875,145.007618672961,"green ash","Fraxinus pennsylvanica"
"69","602","OH",5502,41.556826,-81.321788,150.324256228691,"black walnut","Juglans nigra"
"70","701","OH",5140,41.749691,-80.951685,145.027260949384,"eastern hophornbeam","Ostrya virginiana"
"71","742","OH",5675,41.676386,-81.402005,150.669356936795,"eastern cottonwood","Populus deltoides"
"72","763","OH",5486,41.706025,-81.072875,145.007618672961,"chokecherry","Prunus virginiana"
"73","766","OH",84,40.764326469697,-81.4241642727273,168.751519276161,"American plum","Prunus americana"
"74","823","OH",5675,41.676386,-81.402005,150.669356936795,"bur oak","Quercus macrocarpa"
"75","920","OH",6050,41.4123,-82.212693,157.62453448728,"willow spp.","Salix spp."
"76","921","OH",38,40.2188748067227,-82.8805285546218,169.913082349856,"peachleaf willow","Salix amygdaloides"
"77","951","OH",5675,41.676386,-81.402005,150.669356936795,"American basswood","Tilia americana"
"78","972","OH",5486,41.706025,-81.072875,145.007618672961,"American elm","Ulmus americana"
"79","975","OH",5299,41.79477,-81.060993,147.437354051928,"slippery elm","Ulmus rubra"
