"","SPCD","State","PLOT","lat","lon","minTC","Common","Species"
"1","68","NE",277,42.698238,-97.167266,-12.1608103855232,"eastern redcedar","Juniperus virginiana"
"2","122","NE",242,42.395767597973,-98.8886324459459,-11.3900865460268,"ponderosa pine","Pinus ponderosa"
"3","313","NE",308,42.778804,-97.866526,-11.7825649095201,"boxelder maple","Acer negundo"
"4","462","NE",237,42.3515029137931,-97.0492605517241,-11.993013375295,"hackberry","Celtis occidentalis"
"5","544","NE",328,42.77693,-97.573099,-12.0646341463415,"green ash","Fraxinus pennsylvanica"
"6","602","NE",215,42.0405443529412,-97.3499207156863,-11.542667191188,"black walnut","Juglans nigra"
"7","701","NE",215,42.0405443529412,-97.3499207156863,-11.542667191188,"eastern hophornbeam","Ostrya virginiana"
"8","742","NE",308,42.778804,-97.866526,-11.7825649095201,"eastern cottonwood","Populus deltoides"
"9","763","NE",223,41.3096614710145,-98.415406763285,-10.443564122738,"chokecherry","Prunus virginiana"
"10","766","NE",745,42.544498,-99.05458,-11.2904720692368,"American plum","Prunus americana"
"11","823","NE",277,42.698238,-97.167266,-12.1608103855232,"bur oak","Quercus macrocarpa"
"12","921","NE",218,41.8906435,-98.0122627068965,-11.5298033044847,"peachleaf willow","Salix amygdaloides"
"13","951","NE",215,42.0405443529412,-97.3499207156863,-11.542667191188,"American basswood","Tilia americana"
"14","972","NE",277,42.698238,-97.167266,-12.1608103855232,"American elm","Ulmus americana"
"15","975","NE",237,42.3515029137931,-97.0492605517241,-11.993013375295,"slippery elm","Ulmus rubra"
"16","68","WI",37,45.7928495070422,-90.0667870704225,-17.4155468135327,"eastern redcedar","Juniperus virginiana"
"17","313","WI",37,45.7928495070422,-90.0667870704225,-17.4155468135327,"boxelder maple","Acer negundo"
"18","375","WI",666,46.357658,-92.106771,-17.7589771833202,"paper birch","Betula papyrifera"
"19","462","WI",411,46.1940785774648,-91.0285781971831,-17.4877025963808,"hackberry","Celtis occidentalis"
"20","544","WI",52,45.8795490810811,-91.1361588108108,-17.5699134539732,"green ash","Fraxinus pennsylvanica"
"21","602","WI",37,45.7928495070422,-90.0667870704225,-17.4155468135327,"black walnut","Juglans nigra"
"22","701","WI",52,45.8795490810811,-91.1361588108108,-17.5699134539732,"eastern hophornbeam","Ostrya virginiana"
"23","742","WI",280,45.5354810103093,-90.6332872061856,-17.2653579858379,"eastern cottonwood","Populus deltoides"
"24","763","WI",490,46.448888,-92.149958,-17.4767269866247,"chokecherry","Prunus virginiana"
"25","766","WI",342,45.1876252988506,-90.5140267758621,-16.5465696302124,"American plum","Prunus americana"
"26","823","WI",52,45.8795490810811,-91.1361588108108,-17.5699134539732,"bur oak","Quercus macrocarpa"
"27","920","WI",531,45.6570755,-90.5422233333333,-17.272627852085,"willow spp.","Salix spp."
"28","921","WI",143,46.0274408813559,-90.4579413898305,-17.2713690007868,"peachleaf willow","Salix amygdaloides"
"29","951","WI",718,45.7501724067797,-90.0712011864407,-17.498756884343,"American basswood","Tilia americana"
"30","972","WI",647,46.259471,-92.215317,-17.5936428009441,"American elm","Ulmus americana"
"31","975","WI",760,45.8172404482759,-90.6475145172414,-17.337269866247,"slippery elm","Ulmus rubra"
"32","68","MO",186,39.6271725,-93.59526505,-8.22015735641227,"eastern redcedar","Juniperus virginiana"
"33","313","MO",186,39.6271725,-93.59526505,-8.22015735641227,"boxelder maple","Acer negundo"
"34","462","MO",194,40.265099,-94.662419,-9.30202202989772,"hackberry","Celtis occidentalis"
"35","544","MO",194,40.265099,-94.662419,-9.30202202989772,"green ash","Fraxinus pennsylvanica"
"36","602","MO",184,39.4580978275862,-94.3159233103448,-8.18331235247836,"black walnut","Juglans nigra"
"37","701","MO",70,39.1106010423453,-93.0511484397394,-7.07014948859166,"eastern hophornbeam","Ostrya virginiana"
"38","742","MO",184,39.4580978275862,-94.3159233103448,-8.18331235247836,"eastern cottonwood","Populus deltoides"
"39","763","MO",211,38.6474616608187,-93.7141740935673,-7.04196695515342,"chokecherry","Prunus virginiana"
"40","766","MO",194,40.265099,-94.662419,-9.30202202989772,"American plum","Prunus americana"
"41","823","MO",184,39.4580978275862,-94.3159233103448,-8.18331235247836,"bur oak","Quercus macrocarpa"
"42","920","MO",72,38.5277684044944,-92.3393633174157,-6.05192761605035,"willow spp.","Salix spp."
"43","921","MO",28,38.882845033241,-92.0225082714681,-6.77237608182533,"peachleaf willow","Salix amygdaloides"
"44","951","MO",184,39.4580978275862,-94.3159233103448,-8.18331235247836,"American basswood","Tilia americana"
"45","972","MO",184,39.4580978275862,-94.3159233103448,-8.18331235247836,"American elm","Ulmus americana"
"46","975","MO",194,40.265099,-94.662419,-9.30202202989772,"slippery elm","Ulmus rubra"
"47","68","SD",329,45.1717653076923,-100.263193153846,-13.9042171518489,"eastern redcedar","Juniperus virginiana"
"48","122","SD",417,45.5824035,-97.9999773125,-16.22564122738,"ponderosa pine","Pinus ponderosa"
"49","313","SD",484,45.874975,-96.984091,-16.6042800944138,"boxelder maple","Acer negundo"
"50","375","SD",4045,44.0252735,-103.93096175,-12.5028253033762,"paper birch","Betula papyrifera"
"51","462","SD",279,45.182251,-96.752688,-15.6568292682927,"hackberry","Celtis occidentalis"
"52","544","SD",388,45.934844,-97.455538,-17.1767899291896,"green ash","Fraxinus pennsylvanica"
