"","SPCD","State","PLOT","lat","lon","minAVP","Common","Species"
"1","68","NE",267,42.1981848888889,-102.098965666667,202.59322840322,"eastern redcedar","Juniperus virginiana"
"2","122","NE",402,42.476549,-103.407852,197.481062117025,"ponderosa pine","Pinus ponderosa"
"3","313","NE",393,42.601912,-103.293551,214.982338099243,"boxelder maple","Acer negundo"
"4","462","NE",625,42.5582081809524,-101.989165733333,217.340501321639,"hackberry","Celtis occidentalis"
"5","544","NE",393,42.601912,-103.293551,214.982338099243,"green ash","Fraxinus pennsylvanica"
"6","602","NE",486,42.916279,-102.565679,228.268234711042,"black walnut","Juglans nigra"
"7","701","NE",1252,42.877345,-100.489191,224.902003784693,"eastern hophornbeam","Ostrya virginiana"
"8","742","NE",417,42.617497,-103.563165,195.707854139133,"eastern cottonwood","Populus deltoides"
"9","763","NE",617,41.7075945116279,-102.006189674419,203.907254295326,"chokecherry","Prunus virginiana"
"10","766","NE",226,41.0528422234043,-100.837653265957,220.278040670431,"American plum","Prunus americana"
"11","823","NE",265,42.1163764592593,-100.671966051852,227.496992070167,"bur oak","Quercus macrocarpa"
"12","921","NE",226,41.0528422234043,-100.837653265957,220.278040670431,"peachleaf willow","Salix amygdaloides"
"13","951","NE",254,42.0656148365385,-98.9444739182692,266.805600744924,"American basswood","Tilia americana"
"14","972","NE",617,41.7075945116279,-102.006189674419,203.907254295326,"American elm","Ulmus americana"
"15","975","NE",278,42.8329304444444,-99.429033,249.850355941367,"slippery elm","Ulmus rubra"
"16","68","WI",37,45.7928495070422,-90.0667870704225,190.158528717545,"eastern redcedar","Juniperus virginiana"
"17","313","WI",37,45.7928495070422,-90.0667870704225,190.158528717545,"boxelder maple","Acer negundo"
"18","375","WI",666,46.357658,-92.106771,187.062918961448,"paper birch","Betula papyrifera"
"19","462","WI",411,46.1940785774648,-91.0285781971831,189.131298190401,"hackberry","Celtis occidentalis"
"20","544","WI",411,46.1940785774648,-91.0285781971831,189.131298190401,"green ash","Fraxinus pennsylvanica"
"21","602","WI",37,45.7928495070422,-90.0667870704225,190.158528717545,"black walnut","Juglans nigra"
"22","701","WI",411,46.1940785774648,-91.0285781971831,189.131298190401,"eastern hophornbeam","Ostrya virginiana"
"23","742","WI",280,45.5354810103093,-90.6332872061856,193.250078678206,"eastern cottonwood","Populus deltoides"
"24","763","WI",37,45.7928495070422,-90.0667870704225,190.158528717545,"chokecherry","Prunus virginiana"
"25","766","WI",342,45.1876252988506,-90.5140267758621,203.417230527144,"American plum","Prunus americana"
"26","823","WI",411,46.1940785774648,-91.0285781971831,189.131298190401,"bur oak","Quercus macrocarpa"
"27","920","WI",531,45.6570755,-90.5422233333333,193.02409913454,"willow spp.","Salix spp."
"28","921","WI",143,46.0274408813559,-90.4579413898305,191.523752950433,"peachleaf willow","Salix amygdaloides"
"29","951","WI",411,46.1940785774648,-91.0285781971831,189.131298190401,"American basswood","Tilia americana"
"30","972","WI",411,46.1940785774648,-91.0285781971831,189.131298190401,"American elm","Ulmus americana"
"31","975","WI",760,45.8172404482759,-90.6475145172414,191.885460267506,"slippery elm","Ulmus rubra"
"32","68","MO",184,39.4580978275862,-94.3159233103448,361.388772619984,"eastern redcedar","Juniperus virginiana"
"33","313","MO",186,39.6271725,-93.59526505,361.580298977183,"boxelder maple","Acer negundo"
"34","462","MO",194,40.265099,-94.662419,333.999976396538,"hackberry","Celtis occidentalis"
"35","544","MO",194,40.265099,-94.662419,333.999976396538,"green ash","Fraxinus pennsylvanica"
"36","602","MO",184,39.4580978275862,-94.3159233103448,361.388772619984,"black walnut","Juglans nigra"
"37","701","MO",211,38.6474616608187,-93.7141740935673,393.017734067663,"eastern hophornbeam","Ostrya virginiana"
